Course Name,University,University Type,Degree Type,Duration,Language,Course Code,Course Area,Website
Ancient Civilizations for the Contemporary World,University of Milan,Public,Bachelors,3,EN,L-1,Cultural heritage,https://ancient-civilization.cdl.unimi.it/en
Animal care,University of Padua,Public,Bachelors,3,EN,L-38 R,Zootechnical sciences and animal production technologies,https://www.unipd.it/offerta-didattica/corso-di-laurea/agraria-e-medicina-veterinaria?tipo=L&scuola=AV&ordinamento=2025&key=AV2874&cg=medicina-veterinaria-e-benesse
Applied Computer Science and Artificial Intelligence,"University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L-31 R,Computer Science and Technology,https://corsidilaurea.uniroma1.it/it/course/33502
Architecture Sciences for Heritage,Polytechnic University of Bari,Public,Bachelors,3,EN,L-17 R,Architectural Sciences,https://poliba.coursecatalogue.cineca.it/corsi/2025/10246
Artificial intelligence,University of Pavia,Public,Bachelors,3,EN,L-31 R,Computer Science and Technology,https://matematica.unipv.it/laurea-triennale-ia/
Bioinformatics,"University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L-2 R,Biotechnology,https://corsidilaurea.uniroma1.it/it/course/33455
Biology for One-health,University of Naples Federico II,Public,Bachelors,3,EN,L-13 R,Biological Sciences,http://www.dipartimentodibiologia.unina.it/
Biology of Human and Environmental Health,University of Padua,Public,Bachelors,3,EN,L-13 R,Biological Sciences,https://www.unipd.it/offerta-didattica/corso-di-laurea/scienze?tipo=L&scuola=SC&ordinamento=2025&key=SC2978&cg=scienze
Biosciences and Biotechnology,University of Camerino,Public,Bachelors,3,EN,L-2 R,Biotechnology,https://didattica.unicam.it/Guide/PaginaCorso.do?corso_id=10014
Biotech Engineering For Health,University of Siena,Public,Bachelors,3,EN,L-2 R,Biotechnology,https://biotech-engineering.unisi.it/it
Biotechnology,University of Teramo,Public,Bachelors,3,EN,L-2 R,Biotechnology,https://www.unite.it/UniTE/Didattica/Corsi_di_studio/Biotechnology_L_2
Building Construction Engineering,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-23 R,Building sciences and techniques,https://corsi.unibo.it/1cycle/Building
BUSINESS & MANAGEMENT,University of Turin,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,http://www.business-management.unito.it
Business Administration & Economics,"University of Rome ""Tor Vergata""",Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,http://economia.uniroma2.it/ba/business-administration-economics/
Business Administration and Management,Ca' Foscari University of Venice,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://unive.it/cdl/ETR8
Business and Economics,University of Brescia,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://permalink.unibs.it/suacds/2025/54456R/infogen
Business and Economics,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,http://corsi.unibo.it/CLaBE
Civil and Environmental Engineering,Polytechnic University of Turin,Public,Bachelors,3,EN,L-7 R,Civil and environmental engineering,https://www.polito.it/corsi/32-465
Civil and environmental engineering,University of Naples Federico II,Public,Bachelors,3,EN,L-7 R,Civil and environmental engineering,https://www.civil-environmental.unina.it
Classics,"University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L-10 R,Letters,https://corsidilaurea.uniroma1.it/it/course/33528
Data Analytics,"University of Campania ""Luigi Vanvitelli""",Public,Bachelors,3,EN,L-41 R,Statistics,http://www.matfis.unicampania.it/didattica/corsi-di-studio/data-analytics
Dental Hygiene,University of Parma,Public,Bachelors,3,EN,L/SNT3,Technical health professions,https://corsi.unipr.it/cdl-dh
Digital Economics and Business,Polytechnic University of Marche,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://www.econ.univpm.it/ET07
Digital Management,Ca' Foscari University of Venice,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,http://www.unive.it/cdl/etr7
Earth and climate dynamics,University of Padua,Public,Bachelors,3,EN,L-34 R,Geological sciences,https://www.unipd.it/offerta-didattica/corso-di-laurea/scienze?tipo=L&scuola=SC&ordinamento=2025&key=SC2986&cg=scienze
Earth Sciences for Sustainable Development,University of Trieste,Public,Bachelors,3,EN,L-34 R,Geological sciences,https://degree.units.it/en/0320107323400001
Earth System and Global Changes,University of Bari Aldo Moro,Public,Bachelors,3,EN,L-34 R,Geological sciences,http://www.scienzegeologiche.uniba.it/77-presentazione-corsi/
Economics and Business,Ca' Foscari University of Venice,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://unive.it/cdl/ETR9
Economics and Finance,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-33 R,Economic Sciences,http://corsi.unibo.it/1cycle/EconomicsFinance
ECONOMICS AND FINANCE WITH DATA SCIENCE,University of Turin,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://www.efds.unito.it/do/home.pl
Economics and Management,University of Siena,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://economics-management.unisi.it/en
ECONOMICS AND SCIENCE FOR ENVIRONMENTAL SUSTAINABILITY,University of Milan-Bicocca,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://www.unimib.it/didattica/offerta-formativa/corsi-laurea-iscrizioni/area-economico-statistica-laurea-triennale
Economics of Tourism and Cities,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://corsi.unibo.it/1cycle/clet
Economics with data science,University of Cassino and Southern Lazio,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://unicas-public.gomp.it/PublicData?uid=539e3281-7a03-4c3a-914a-8305223bec11&mode=CourseDetail&iso=eng&academicYear=2024
"Economics, Politics and Social Sciences",Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://corsi.unibo.it/1cycle/EconomicsPoliticsSocialSciences
"Economics: Behavior, Data and Policy",University of Milan,Public,Bachelors,3,EN,L-33 R,Economic Sciences,https://econ.cdl.unimi.it/en
Electronic and Communications Engineering,Polytechnic University of Turin,Public,Bachelors,3,EN,L-8 R,Information Engineering,https://www.polito.it/corsi/37-474
Engineering management,University of Perugia,Public,Bachelors,3,EN,L-8 R,Information Engineering,http://www.unipg.it/perm/offerta-formativa/2025/corso/8432
Engineering Sciences,"University of Rome ""Tor Vergata""",Public,Bachelors,3,EN,L-9 R,Industrial Engineering,http://www.engineering-sciences.uniroma2.it/
ENVIRONMENTAL SCIENCES AND CIVIL PROTECTION,Polytechnic University of Marche,Public,Bachelors,3,EN,L-32 R,Science and technology for the environment and nature,https://www.disva.univpm.it/content/Undergraduate_Course_in_Environmental_Sciences_and_Civil_Protection
European Studies,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-36 R,Political Science and International Relations,https://corsi.unibo.it/1cycle/EuropeanStudies
Genomics,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-2 R,Biotechnology,http://corsi.unibo.it/1Cycle/Genomics
GEOLOGY,University of PISA,Public,Bachelors,3,EN,L-34 R,Geological sciences,https://www.dst.unipi.it/geology-uzbk.html
Global Governance,"University of Rome ""Tor Vergata""",Public,Bachelors,3,EN,L-16 R,Administrative and organizational sciences,http://www.globalgovernance.it
Global Humanities,"University of Rome ""La Sapienza""",Public,Bachelors,3,EN,L-42 R,History,https://corsidilaurea.uniroma1.it/it/course/33537
Global Law and Transnational Legal Studies,University of Turin,Public,Bachelors,3,EN,L-14 R,Legal Services Sciences,https://www.globallaw.unito.it/do/home.pl
Global Studies for Sustainable Local and International Development and Cooperation,University of Parma,Public,Bachelors,3,EN,L-37 R,"Social Sciences for Cooperation, Development and Peace",https://corsi.unipr.it/en/scheda/cdl-globals
Hospitality Innovation and e-Tourism,Ca' Foscari University of Venice,Public,Bachelors,3,EN,L-15 R,Tourism Sciences,http://www.unive.it/cdl/ctr9
Industrial Engineering Technology,University of Cassino and Southern Lazio,Public,Bachelors,3,EN,L-9 R,Industrial Engineering,https://unicas-public.gomp.it/PublicData?mode=classRoomList&academicYear=2023&iso=ita
Information Engineering,University of Padua,Public,Bachelors,3,EN,L-8 R,Information Engineering,https://www.unipd.it/offerta-didattica/corso-di-laurea/ingegneria?tipo=L&scuola=IN&ordinamento=2024&key=IN2801&cg=ingegneria
Interaction Design,Polytechnic University of Milan,Public,Bachelors,3,EN,L-4 R,Industrial design,https://www.design.polimi.it/it
"International Politics, Law and Economics",University of Milan,Public,Bachelors,3,EN,L-36 R,Political Science and International Relations,https://iple.cdl.unimi.it/en
International studies,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-36 R,Political Science and International Relations,https://corsi.unibo.it/1cycle/InternationalStudies
"International, European and Comparative Legal Studies (IECoLS)",University of Macerata,Public,Bachelors,3,EN,L-14 R,Legal Services Sciences,https://corsi.unimc.it/en/iecols
Management & Business Analytics,University of UDINE,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://www.uniud.it/it/didattica/corsi/area-economico-giuridica/economia/laurea/management-business-analytics
Management and Economics,Alma Mater Studiorum - University of Bologna,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://corsi.unibo.it/1cycle/Management
Management Engineering for Innovation,Polytechnic University of Bari,Public,Bachelors,3,EN,L-9 R,Industrial Engineering,https://poliba.coursecatalogue.cineca.it/corsi/2025/10247
MANAGEMENT FOR BUSINESS AND ECONOMICS,University of PISA,Public,Bachelors,3,EN,L-18 R,Economics and Business Management Sciences,https://mbe.ec.unipi.it/
Marine Biology and Blue Biotechnologies,University of Messina,Public,Bachelors,3,EN,L-13 R,Biological Sciences,https://marine-biology-and-blue-biotechnologies.cdl.unime.it/it
